"Package","Version"
"abind","1.4-8"
"apaTables","2.0.8"
"arm","1.14-4"
"AsioHeaders","1.22.1-2"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"bigD","0.3.0"
"bit","4.5.0.1"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"bookdown","0.42"
"brio","1.1.5"
"broom","1.0.7"
"bslib","0.8.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cellranger","1.1.0"
"checkmate","2.3.2"
"chromote","0.4.0"
"cli","3.6.3"
"clipr","0.8.0"
"coda","0.19-4.1"
"colorspace","2.1-1"
"commonmark","1.9.2"
"conflicted","1.2.0"
"cowplot","1.1.3"
"cpp11","0.5.1"
"crayon","1.5.3"
"credentials","2.0.2"
"crosstalk","1.2.1"
"curl","6.2.0"
"data.table","1.16.4"
"DBI","1.2.3"
"dbplyr","2.5.0"
"debugme","1.2.0"
"Deriv","4.2.0"
"desc","1.4.3"
"diffobj","0.3.5"
"digest","0.6.37"
"doBy","4.7.0"
"dplyr","1.1.4"
"DT","0.33"
"dtplyr","1.3.1"
"ellipsis","0.3.2"
"evaluate","1.0.3"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.0"
"Formula","1.2-5"
"fs","1.6.5"
"gargle","1.5.2"
"generics","0.1.3"
"gert","2.1.4"
"ggalluvial","0.12.5"
"GGally","2.2.1"
"ggforce","0.4.2"
"ggplot2","3.5.1"
"ggstats","0.9.0"
"ggthemes","5.1.0"
"gh","1.4.1"
"gitcreds","0.1.2"
"glue","1.8.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gridExtra","2.3"
"gt","0.11.1"
"gtable","0.3.6"
"haven","2.5.4"
"here","1.0.1"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.1.0"
"ids","1.0.1"
"ini","0.3.1"
"isoband","0.2.7"
"jquerylib","0.1.4"
"jsonlite","1.8.9"
"juicyjuice","0.1.0"
"kableExtra","1.4.0"
"knitr","1.49"
"labeling","0.4.3"
"later","1.4.1"
"lavaan","0.6-19"
"lazyeval","0.2.2"
"learnr","0.11.5"
"lifecycle","1.0.4"
"lme4","1.1-37"
"lubridate","1.9.4"
"magrittr","2.0.3"
"markdown","1.13"
"MatrixModels","0.5-4"
"MBESS","4.9.41"
"memoise","2.0.1"
"mi","1.1"
"microbenchmark","1.5.0"
"mime","0.12"
"minqa","1.2.8"
"mnormt","2.1.1"
"modelr","0.1.11"
"munsell","0.5.1"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"openssl","2.3.1"
"packrat","0.9.2"
"pagedown","0.22"
"palmerpenguins","0.1.1"
"parsedate","1.3.2"
"patchwork","1.3.0"
"pbivnorm","0.6.0"
"pbkrtest","0.5.5"
"pillar","1.10.1"
"pingr","2.0.5"
"pkgbuild","1.4.6"
"pkgconfig","2.0.3"
"pkgload","1.4.0"
"PKI","0.1-14"
"plogr","0.2.0"
"plotly","4.10.4"
"plyr","1.8.9"
"png","0.1-8"
"polyclip","1.10-7"
"praise","1.0.0"
"prettyunits","1.2.0"
"pROC","1.18.5"
"processx","3.8.5"
"progress","1.2.3"
"promises","1.3.2"
"ps","1.8.1"
"purrr","1.0.2"
"quadprog","1.5-8"
"quantreg","6.1"
"quarto","1.4.4"
"R6","2.5.1"
"ragg","1.3.3"
"rappdirs","0.3.3"
"rbibutils","2.3"
"RColorBrewer","1.1-3"
"Rcpp","1.0.14"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.4"
"reactable","0.4.4"
"reactR","0.6.1"
"readr","2.1.5"
"readxl","1.4.3"
"reformulas","0.4.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"renv","1.1.0"
"reprex","2.1.1"
"rlang","1.1.5"
"rmarkdown","2.29"
"rprojroot","2.0.4"
"rsconnect","1.3.4"
"RSQLite","2.4.3"
"rstudioapi","0.17.1"
"rvest","1.0.4"
"sass","0.4.9"
"scales","1.3.0"
"selectr","0.4-2"
"sem","3.1-16"
"semTools","0.5-7"
"servr","0.32"
"shiny","1.10.0"
"shinyjs","2.1.0"
"shinytest","1.6.1"
"showimage","1.0.0"
"sourcetools","0.1.7-1"
"SparseM","1.84-2"
"stringdist","0.9.15"
"stringi","1.8.4"
"stringr","1.5.1"
"svglite","2.1.3"
"sys","3.4.3"
"systemfonts","1.2.1"
"testthat","3.2.3"
"textshaping","1.0.0"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"tinytex","0.54"
"tweenr","2.0.3"
"tzdb","0.4.0"
"usethis","3.1.0"
"utf8","1.2.4"
"uuid","1.2-1"
"V8","6.0.0"
"vctrs","0.6.5"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.6.1"
"webdriver","1.0.6"
"webshot2","0.1.1"
"websocket","1.4.2"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.50"
"xml2","1.3.6"
"xtable","1.8-4"
"yaml","2.3.10"
"zip","2.3.1"
"base","4.4.2"
"boot","1.3-31"
"class","7.3-22"
"cluster","2.1.6"
"codetools","0.2-20"
"compiler","4.4.2"
"datasets","4.4.2"
"foreign","0.8-87"
"graphics","4.4.2"
"grDevices","4.4.2"
"grid","4.4.2"
"KernSmooth","2.23-24"
"lattice","0.22-6"
"MASS","7.3-61"
"Matrix","1.7-1"
"methods","4.4.2"
"mgcv","1.9-1"
"nlme","3.1-166"
"nnet","7.3-19"
"parallel","4.4.2"
"rpart","4.1.23"
"spatial","7.3-17"
"splines","4.4.2"
"stats","4.4.2"
"stats4","4.4.2"
"survival","3.7-0"
"tcltk","4.4.2"
"tools","4.4.2"
"translations","4.4.2"
"utils","4.4.2"
